"Address","Zip","2016-2020","2021-2025","change","perct_change"
"418 BROADWAY",37203,1,3,2,200
"419 WEST BEND DR",37209,0,2,2,NA
"4205 SWEDEN DR",37076,0,2,2,NA
"4209 LEBANON PIKE",37076,0,2,2,NA
"421 BROADWAY",37203,1,3,2,200
"423 BROADWAY",37203,1,3,2,200
"424 BOWLING AVE",37205,0,2,2,NA
"424 KINSEY BLVD",37115,0,2,2,NA
"424 NESBITT LN",37115,0,2,2,NA
"425 AMERICAN RD",37209,0,2,2,NA
"4289 VALLEY GROVE DR",37076,0,2,2,NA
"43 HERMITAGE AVE",37210,0,2,2,NA
"4301 ENCHANTED CIR",37218,0,2,2,NA
"4309 BRACKENWOOD DR",37138,0,2,2,NA
"431 OCALA DR",37211,1,3,2,200
"4316 SUMMERCREST BLVD",37013,0,2,2,NA
"4326 HARDING PIKE",37205,0,2,2,NA
"436 E OLD HICKORY BLVD",37115,0,2,2,NA
"436 SHADOW GLEN DR",37211,0,2,2,NA
"438 NEELYS BEND RD",37115,0,2,2,NA
"439 HENEY DR",37214,2,4,2,100
"444 ELMINGTON AVE",37205,0,2,2,NA
"45 GLENROSE AVE",37210,0,2,2,NA
"450 DONELSON PIKE",37214,0,2,2,NA
"451 PONDER PL",37228,2,4,2,100
"4531 NOLENSVILLE PIKE",37211,0,2,2,NA
"4539 BATON ROUGE DR",37076,0,2,2,NA
"454 MURFREESBORO PIKE",37210,2,4,2,100
"455 WILCLAY DR",37209,0,2,2,NA
"457 TANGLEWOOD CT",37211,0,2,2,NA
"460 CRAIGHEAD ST",37204,0,2,2,NA
"4601 CHARLOTTE AVE",37209,0,2,2,NA
"465 HUMPHREYS ST",37203,0,2,2,NA
"4697 TROUSDALE DR",37220,0,2,2,NA
"470 METROPLEX DR",37211,0,2,2,NA
"470 RADNOR ST",37211,0,2,2,NA
"4700 CHARLOTTE AVE",37209,2,4,2,100
"4708 MICHIGAN AVE",37209,0,2,2,NA
"472 TIMMONS ST",37211,1,3,2,200
"4736 VOLUNTEER DR",37013,0,2,2,NA
"4737 TERRAGON TRL",37013,0,2,2,NA
"4758 TRENTON DR",37076,0,2,2,NA
"4814 SUNLIGHT DR",37211,0,2,2,NA
"4857 SHASTA DR",37138,0,2,2,NA
"4864 PEPPERTREE DR",37013,0,2,2,NA
"4908 LINBAR DR",37211,0,2,2,NA
"4928 RAYWOOD LN",37211,0,2,2,NA
"4932 SHERMAN OAKS DR",37211,0,2,2,NA
"4957 LEBANON PIKE",37138,0,2,2,NA
"496 W TRINITY LN",37207,0,2,2,NA
"497 ELYSIAN FIELDS RD",37211,0,2,2,NA
"499 DAVIDSON ST",37213,0,2,2,NA
"4TH AVE S & DEMONBREUN ST",37201,0,2,2,NA
"4TH AVE S & LAFAYETTE ST",37210,0,2,2,NA
"4TH AVE S / BROADWAY",37203,0,2,2,NA
"4TH AVE S / KOREAN VETERANS BLVD",37201,0,2,2,NA
"4TH AVE S / PEABODY ST",37201,0,2,2,NA
"4TH AVE S / SYMPHONY PL",37203,0,2,2,NA
"50 AIRWAYS BLVD",37214,1,3,2,200
"50 LINDSLEY AVE",37210,0,2,2,NA
"500 COWAN ST",37207,0,2,2,NA
"500 HAROLD PREWETT DR",37218,0,2,2,NA
"500 WILCLAY DR",37209,0,2,2,NA
"501 BEN ALLEN RD",37216,6,8,2,33
"501 COMMERCE ST",37203,0,2,2,NA
"501 S 6TH ST",37206,0,2,2,NA
"5013 SUNSHINE DR",37013,1,3,2,200
"502 S 7TH ST",37206,0,2,2,NA
"5028 RAGLAND DR",37220,0,2,2,NA
"503 GLENPARK DR",37217,0,2,2,NA
"503 REVELS DR",37207,0,2,2,NA
"5036 BROADWAY PL",37203,0,2,2,NA
"504 DR D B TODD JR BLVD",37203,0,2,2,NA
"504 S 6TH ST",37206,1,3,2,200
"505 CHURCH ST",37219,3,5,2,67
"505 DRAKE AVE",37211,0,2,2,NA
"5055 OLD HICKORY BLVD",37076,0,2,2,NA
"508 MAIN ST",37206,2,4,2,100
"508 RAYMOND ST",37211,0,2,2,NA
"509 CHARLES DR",37115,0,2,2,NA
"509 FOREST PARK RD",37115,0,2,2,NA
"509 JANICE DR",37013,0,2,2,NA
"510 COLLINS PARK DR",37013,0,2,2,NA
"5108 BAY OVERLOOK DR",37076,2,4,2,100
"512 S 6TH ST",37206,0,2,2,NA
"5125 GREEN LEAF DR",37211,0,2,2,NA
"5127 NOLENSVILLE PIKE",37211,0,2,2,NA
"514 SYLVAN ST",37206,0,2,2,NA
"5160 WHITES CREEK PIKE",37189,0,2,2,NA
"5171 REGENT DR",37220,0,2,2,NA
"5188 SINGING HILLS DR",37013,0,2,2,NA
"520 CHURCH ST",37072,1,3,2,200
"520 RECOVERY RD",37211,0,2,2,NA
"5200 HICKORY HOLLOW PKWY",37013,0,2,2,NA
"5201 CHARLOTTE AVE",37209,0,2,2,NA
"5204 DAKOTA AVE",37209,0,2,2,NA
"521 CLAIBORNE ST",37210,0,2,2,NA
"5216 LANA RENEE CT",37076,0,2,2,NA
"522 GLASTONBURY RD",37217,0,2,2,NA
"522 S 6TH ST",37206,0,2,2,NA
"523 S 10TH ST",37206,0,2,2,NA
"5250 CANE RIDGE RD",37013,0,2,2,NA
"530 11TH AVE N",37203,0,2,2,NA
"530 BROADWAY",37203,0,2,2,NA
"5300 WESSEX DR",37211,0,2,2,NA
"5301 HARDING PIKE",37205,0,2,2,NA
"5305 MT VIEW RD",37013,0,2,2,NA
"5314 MT VIEW RD",37013,0,2,2,NA
"5320 HICKORY HOLLOW PKWY",37013,0,2,2,NA
"5321 HICKORY HOLLOW LN",37013,0,2,2,NA
"5344 SUNNYVALE DR",37013,1,3,2,200
"5348 CANE RIDGE RD",37013,0,2,2,NA
"535 MAIN ST",37206,3,5,2,67
"535 REP JOHN LEWIS WAY S",37203,0,2,2,NA
"5370 MT VIEW RD",37013,0,2,2,NA
"540 AMERICAN RD",37209,0,2,2,NA
"540 CLAIBORNE ST",37210,0,2,2,NA
"5403 ZINNIA LN",37076,0,2,2,NA
"541 GREAT CIRCLE RD",37228,0,2,2,NA
"5445 NOLENSVILLE PIKE",37211,0,2,2,NA
"5455 NOLENSVILLE PIKE",37211,0,2,2,NA
"546 DONELSON PIKE",37214,0,2,2,NA
"546 SHELBY AVE",37206,0,2,2,NA
"55 PERKINS ST",37210,0,2,2,NA
"550 BROADWAY",37203,0,2,2,NA
"550 DONELSON PIKE",37214,1,3,2,200
"5510 NOLENSVILLE PIKE",37211,0,2,2,NA
"552 ROSEDALE AVE",37211,0,2,2,NA
"5520 KENTUCKY AVE",37209,1,3,2,200
"5520 NOLENSVILLE PIKE",37211,1,3,2,200
"553 JUDD DR",37218,1,3,2,200
"555 CHURCH ST",37219,0,2,2,NA
"556 VERITAS ST",37211,0,2,2,NA
"558 S 5TH ST",37206,0,2,2,NA
"5584 MT VIEW RD",37013,0,2,2,NA
"5600 OBRIEN AVE",37209,1,3,2,200
"5614 MORROW RD",37209,0,2,2,NA
"5636 OLD HICKORY BLVD",37076,9,11,2,22
"569 CHARLES E DAVIS BLVD",37210,0,2,2,NA
"5705 CHARLOTTE PIKE",37209,6,8,2,33
"5709 STONEWAY TRL",37209,0,2,2,NA
"572 BROOKSBORO TER",37217,0,2,2,NA
"572 S 5TH ST",37206,0,2,2,NA
"575 OPRY MILLS DR",37214,0,2,2,NA
"576 ANNEX CT",37209,0,2,2,NA
"581 DOVER GLEN DR",37013,0,2,2,NA
"581 GREEN LN",37189,2,4,2,100
"5814 NOLENSVILLE PIKE",37211,0,2,2,NA
"5821 CHARLOTTE PIKE",37209,0,2,2,NA
"589 STEWARTS FERRY PIKE",37214,0,2,2,NA
"5899 CLARKSVILLE PIKE",37080,0,2,2,NA
"59 CARROLL ST",37210,0,2,2,NA
"5910 OLD HICKORY BLVD",37189,0,2,2,NA
"600 BENTON AVE",37204,0,2,2,NA
"600 MURFREESBORO PIKE",37210,0,2,2,NA
"600 ROTHWOOD AVE",37115,1,3,2,200
"600 WHISPERING HILLS DR",37211,8,10,2,25
"601 2ND AVE S",37210,4,6,2,50
"601 GALLATIN AVE",37206,0,2,2,NA
"606 N DUPONT AVE",37115,2,4,2,100
"608 BENTON AVE",37204,0,2,2,NA
"608 BLUE LAKE TRL",37013,0,2,2,NA
"608 MCGAVOCK PIKE",37214,0,2,2,NA
"610 OLD HICKORY BLVD W",37115,0,2,2,NA
"612 S 8TH ST",37206,2,4,2,100
"6133 OBRIEN AVE",37209,0,2,2,NA
"614 BENTON AVE",37204,0,2,2,NA
"615 LENORE Street Apt 311",37210,0,2,2,NA
"615 S 5TH ST",37206,0,2,2,NA
"616 BLUE LAKE TRL",37013,0,2,2,NA
"619 BLUE LAKE TRL",37013,0,2,2,NA
"6202 LAREDO AVE",37209,0,2,2,NA
"6206 MORROW RD",37209,0,2,2,NA
"6208 LARAMIE AVE",37209,0,2,2,NA
"622 OCALA DR",37211,1,3,2,200
"6229 ROBERTSON AVE",37209,0,2,2,NA
"624 CHARLES E DAVIS BLVD",37210,0,2,2,NA
"629 BALDWIN CT",37207,0,2,2,NA
"630 S 7TH ST",37206,0,2,2,NA
"631 MAYVIEW DR",37115,0,2,2,NA
"632 S 7TH ST",37206,0,2,2,NA
"636 CANNON ST",37210,0,2,2,NA
"637 CRUTCHER ST",37206,0,2,2,NA
"637 SYLVAN ST",37206,0,2,2,NA
"639 JAMES AVE",37209,0,2,2,NA
"639 LONGHUNTER CT",37217,0,2,2,NA
"641 S 7TH ST",37206,1,3,2,200
"6412 NOLENSVILLE PIKE",37211,0,2,2,NA
"643 S 7TH ST",37206,1,3,2,200
"645 HICKS RD",37221,0,2,2,NA
"645 OLD HICKORY BLVD",37209,0,2,2,NA
"6457 THUNDERBIRD DR",37209,0,2,2,NA
"647 SYLVAN ST",37206,1,3,2,200
"6509 CHARLOTTE PIKE",37209,0,2,2,NA
"655 S 7TH ST",37206,1,3,2,200
"656 COLICE JEANNE RD",37221,0,2,2,NA
"656 W IRIS DR",37204,1,3,2,200
"660 LAFAYETTE ST",37203,0,2,2,NA
"661 S 6TH ST",37206,0,2,2,NA
"6620 CHARLOTTE PIKE",37209,0,2,2,NA
"6624 CHARLOTTE PIKE",37209,1,3,2,200
"6709 SONYA DR",37209,0,2,2,NA
"677 BELGIUM DR",37076,0,2,2,NA
"685 LEWIS ST",37210,0,2,2,NA
"692 ROWAN DR",37207,0,2,2,NA
"6930 CHARLOTTE PIKE",37209,0,2,2,NA
"6TH AVE N / COMMERCE ST",37219,0,2,2,NA
"6TH AVE S & KOREAN VETERANS BLVD",NA,0,2,2,NA
"6TH AVE S & PEABODY ST",37203,0,2,2,NA
"6TH AVE S / DEMONBREUN ST",37203,0,2,2,NA
"70 UNIVERSITY CT",37210,0,2,2,NA
"700 3RD AVE S",37210,0,2,2,NA
"700 DREXEL ST",37203,0,2,2,NA
"700 E OLD HICKORY BLVD",37115,0,2,2,NA
"700 KOREAN VETERANS BLVD",37203,0,2,2,NA
"7004 CHARLOTTE PIKE",37209,0,2,2,NA
"7008 CHARLOTTE PIKE",37209,0,2,2,NA
"701 LEA AVE",37203,0,2,2,NA
"702 STAR BLVD",37115,0,2,2,NA
"7034 CHARLOTTE PIKE",37209,2,4,2,100
"7035 HIGHWAY 70 S",37221,0,2,2,NA
"704 BERRY RD",37204,0,2,2,NA
"704 GRIGGS PL",37217,0,2,2,NA
"705 ALBANY DR",37076,0,2,2,NA
"706 CHURCH ST",37203,0,2,2,NA
"7070 HIGHWAY 70 S",37221,1,3,2,200
"709 N 12TH ST",37206,0,2,2,NA
"709 RIVERGATE PKWY",37072,0,2,2,NA
"710 JAMES ROBERTSON PKWY",37219,0,2,2,NA
"713 28TH AVE N",37208,0,2,2,NA
"7136 HARPER RD",37080,0,2,2,NA
"714 DRUMMOND DR",37211,0,2,2,NA
"715 WOODLAND ST",37206,1,3,2,200
"716 LEWIS ST",37210,0,2,2,NA
"717 25TH AVE N",37208,0,2,2,NA
"719 NEILL AVE",37206,0,2,2,NA
"721 MADISON SQ",37115,0,2,2,NA
"723 LENORE ST",37206,0,2,2,NA
"730 HICKORY INDUSTRIAL DR",37138,0,2,2,NA
"730 LEWIS ST",37210,0,2,2,NA
"730 SHADOWOOD DR",37205,0,2,2,NA
"731 25TH AVE N",37208,0,2,2,NA
"7351 MARONEY DR",37013,0,2,2,NA
"740 NASHBORO BLVD",37013,0,2,2,NA
"741 LINDEN GRN",37076,0,2,2,NA
"7466 CABOT DR",37209,0,2,2,NA
"7494 CHARLOTTE PIKE",37209,0,2,2,NA
"7501 OLD HARDING PIKE",37221,0,2,2,NA
"7534 OLD HICKORY BLVD",37189,2,4,2,100
"761 OLD HICKORY BLVD",37027,0,2,2,NA
"7613 HIGHWAY 70 S",37221,1,3,2,200
"7624 HIGHWAY 70 S",37221,0,2,2,NA
"7632 HIGHWAY 70 S",37221,0,2,2,NA
"7663 HIGHWAY 70 S",37221,0,2,2,NA
"7670 HIGHWAY 70 S",37221,0,2,2,NA
"7676 HIGHWAY 70 S",37221,1,3,2,200
"7679 HIGHWAY 70 S",37221,1,3,2,200
"7689 HIGHWAY 70 S",37221,0,2,2,NA
"7725 HIGHWAY 70 S",37221,2,4,2,100
"7TH AVE N / MADISON ST",37208,0,2,2,NA
"7TH AVE S & LAFAYETTE ST",37203,0,2,2,NA
"7TH AVE S / DREXEL ST",37203,0,2,2,NA
"7TH AVE S / MIDDLETON ST",37203,0,2,2,NA
"800 19TH AVE S",37203,0,2,2,NA
"800 HARRISON ST",37208,0,2,2,NA
"800 HARVEST GROVE DR",NA,0,2,2,NA
"801 VINE ST",37203,0,2,2,NA
"8020 MCCRORY LN",37221,2,4,2,100
"8043 BIENVILLE DR",37211,0,2,2,NA
"805 AIRWAYS CIR",37214,0,2,2,NA
"805 DIVISION ST",37203,0,2,2,NA
"805 LEA AVE",37203,0,2,2,NA
"806 DEW ST",37206,0,2,2,NA
"808 SKYLINE RIDGE DR",37115,0,2,2,NA
"8081 WHITES CREEK PIKE",37080,0,2,2,NA
"809 EWING AVE",37203,0,2,2,NA
"81 CLAIBORNE ST",37210,0,2,2,NA
"81 VALERIA ST",37210,0,2,2,NA
"812 HONEYSUCKLE RD",37204,0,2,2,NA
"815 MURFREESBORO PIKE",37217,1,3,2,200
"818 19TH AVE S",37203,0,2,2,NA
"820 17TH AVE N",37203,0,2,2,NA
"820 BAYSWATER PL",37013,1,3,2,200
"821 MURFREESBORO PIKE",37217,10,12,2,20
"821 SAUSSY CT",37205,0,2,2,NA
"826 MAIN ST",37206,0,2,2,NA
"832 ROYAL PKWY",37214,2,4,2,100
"836 BISHOPSGATE RD",37013,0,2,2,NA
"836 DICKERSON PIKE",37207,0,2,2,NA
"837 CLAIBORNE ST",37210,0,2,2,NA
"839 GARFIELD ST",37208,0,2,2,NA
"845 BISHOPSGATE RD",37013,0,2,2,NA
"860 OLD HICKORY BLVD W",37207,4,6,2,50
"8664 POPLAR CREEK RD",37221,0,2,2,NA
"869 W HILLWOOD DR",37205,0,2,2,NA
"8945 SAWYER BROWN RD",37221,0,2,2,NA
"8TH AVE S & BRADFORD AVE",37204,0,2,2,NA
"8TH AVE S & BROADWAY",37203,0,2,2,NA
"8TH AVE S & DREXEL ST",37203,0,2,2,NA
"8TH AVE S / CLARK PL",37203,0,2,2,NA
"8TH AVE S / DREXEL ST",37203,0,2,2,NA
"900 BRITTANY PARK DR",37013,0,2,2,NA
"900 JEFFERSON ST",37208,0,2,2,NA
"900 ROSA L PARKS BLVD",37208,3,5,2,67
"901 28TH AVE N",37208,0,2,2,NA
"901 BRYAN ST",37138,0,2,2,NA
"901 CHEROKEE AVE",37207,0,2,2,NA
"902 HAMBLEN DR",37115,0,2,2,NA
"903 BLANK ST",37208,0,2,2,NA
"906 28TH AVE N",37208,0,2,2,NA
"908 CABERNET TRL",37013,0,2,2,NA
"911 AIRPORT CENTER DR",37214,2,4,2,100
"912 FOWLER ST",37138,0,2,2,NA
"915 15TH AVE S",37212,0,2,2,NA
"915 42ND AVE N",37209,0,2,2,NA
"915 OLD HICKORY BLVD W",37115,0,2,2,NA
"917 BLANK ST",37208,0,2,2,NA
"917 RIVERGATE PKWY",37115,0,2,2,NA
"920 OAKWELL FARMS LN",37076,0,2,2,NA
"9222 SAWYER BROWN RD",37221,0,2,2,NA
"925 3RD AVE N",37208,0,2,2,NA
"927 GALLATIN AVE",37206,0,2,2,NA
"927 WOODLAND ST",37206,0,2,2,NA
"931 RICHARDS RD",37013,2,4,2,100
"932 NEUHOFF LN",37205,0,2,2,NA
"94 CASSIE BELL DR",37138,0,2,2,NA
"941 MAIN ST",37206,0,2,2,NA
"950 YOUNGS LN",37218,0,2,2,NA
"951 14TH AVE N",37208,0,2,2,NA
"951 BRITTANY PARK DR",37013,0,2,2,NA
"957 BLANK ST",37208,0,2,2,NA
"966 CANNON ST",37210,0,2,2,NA
"97 WHITE BRIDGE PIKE",37205,0,2,2,NA
"971 MOUNTAIN VALLEY DR",37209,0,2,2,NA
"973 CANNON ST",37210,0,2,2,NA
"ANNEX AVE / RIVER ROUGE DR",37209,0,2,2,NA
"AVONDALE CIR & BRICK CHURCH PIKE",37207,0,2,2,NA
"BELL RD & MT VIEW RD",37013,0,2,2,NA
"BELL RD / MT VIEW RD",37013,0,2,2,NA
"BLANK ST & HERMAN ST",37208,0,2,2,NA
"BRANSFORD AVE & CRAIGHEAD ST",37204,0,2,2,NA
"BRICK CHURCH PIKE / W TRINITY LN",37207,0,2,2,NA
"BRILEY PKWY N / KNIGHTS OF COLUMBUS BLVD",37214,0,2,2,NA
"BROADWAY & 4TH AVE N",37203,0,2,2,NA
"BUCHANAN ST & 16TH AVE N",37208,0,2,2,NA
"BUCHANAN ST & DR D B TODD JR BLVD",37208,0,2,2,NA
"CHARLOTTE PIKE / DAVIDSON DR",37209,0,2,2,NA
"CHURCH ST / 17TH AVE N",37203,0,2,2,NA
"CLARKSVILLE PIKE & RAWLINGS RD",37080,0,2,2,NA
"COMMERCE ST / 2ND AVE N",37201,0,2,2,NA
"COUCHVILLE PIKE & ANDERSON RD",37217,0,2,2,NA
"DICKERSON PIKE / DOVERSIDE DR",37207,0,2,2,NA
"DOVERSIDE DR / DICKERSON PIKE",37207,0,2,2,NA
"DR D B TODD JR BLVD & JEFFERSON ST",37208,0,2,2,NA
"EAST THOMPSON LN & MURFREESBORO PIKE",37217,0,2,2,NA
"ELM HILL PIKE / BRILEY PKWY N",37214,0,2,2,NA
"EXIT 4 BRILEY N",37217,0,2,2,NA
"EXIT 4 BRILEY S",37217,0,2,2,NA
"EXIT 49 I24 W",37206,0,2,2,NA
"GALLATIN PIKE N / LOVELL ST",37115,0,2,2,NA
"GALLATIN PIKE N / MCKINLEY ST",37115,0,2,2,NA
"GALLATIN PIKE S & E WEBSTER ST",37115,0,2,2,NA
"GALLATIN PIKE S & EMMITT AVE",37115,0,2,2,NA
"GALLATIN PIKE S & HARRINGTON AVE",37115,0,2,2,NA
"GALLATIN PIKE S / NEELYS BEND RD",37115,0,2,2,NA
"GRACE ST & DICKERSON PIKE",37207,0,2,2,NA
"HAMPTON ST & AVONDALE CIR",37207,0,2,2,NA
"HAMPTON ST & W TRINITY LN",37207,0,2,2,NA
"HAMPTON ST / AVONDALE CIR",37207,1,3,2,200
"HARDING PIKE / WHITE BRIDGE PIKE",37205,0,2,2,NA
"HARDING PL / HARDING MALL DR",37211,0,2,2,NA
"HARDING PL / SIDCO DR",37220,0,2,2,NA
"HERMAN ST / 14TH AVE N",37208,0,2,2,NA
"HERMITAGE AVE & MIDDLETON ST",37210,0,2,2,NA
"HOWERTON ST / INTERSTATE DR",37213,0,2,2,NA
"I440 E EXT RAMP & NOLENSVILLE PIKE",37211,0,2,2,NA
"I65 N / DICKERSON PIKE",37207,0,2,2,NA
"I65 S / ARMORY DR",37204,0,2,2,NA
"INTERSTATE DR / WOODLAND ST",37213,0,2,2,NA
"KOREAN VETERANS BLVD & 6TH AVE S",37203,0,2,2,NA
"KOREAN VETERANS BLVD / REP JOHN LEWIS WAY S",37203,0,2,2,NA
"LAFAYETTE ST & CLAIBORNE ST",37210,0,2,2,NA
"LAFAYETTE ST & I40 W",37210,0,2,2,NA
"LAFAYETTE ST & LEWIS ST",37210,0,2,2,NA
"LAFAYETTE ST & LINCOLN ST",37210,0,2,2,NA
"LAFAYETTE ST & WHARF AVE",37210,0,2,2,NA
"LAUER DR / STEWARTS FERRY PIKE",37214,0,2,2,NA
"LEBANON PIKE / ANDREW JACKSON PKWY",37076,0,2,2,NA
"LEWIS ST & ROBERTSON ST",37210,0,2,2,NA
"LONG HOLLOW PIKE / NORTHCREEK BLVD",37072,0,2,2,NA
"LOT M",37213,0,2,2,NA
"MAGGIE DR / LEGACY DR",37013,0,2,2,NA
"MIDDLETON ST & HERMITAGE AVE",37210,0,2,2,NA
"MM 210 8 I40 E",37210,0,2,2,NA
"MM 51 8 I24 W",37217,0,2,2,NA
"MM 60 6 I24 E",37013,0,2,2,NA
"MM 61 8 I24 E",37013,0,2,2,NA
"MM 89 0 I65 N",37207,0,2,2,NA
"MURFREESBORO PIKE & NANCE LN",37210,0,2,2,NA
"MURFREESBORO PIKE / EDGE O LAKE DR",37217,0,2,2,NA
"MURFREESBORO PIKE / MOUNTAIN SPRINGS RD",37013,0,2,2,NA
"N 1ST ST / SPRING ST",37207,1,3,2,200
"N HILL ST & LEWIS ST",37210,0,2,2,NA
"NAVAL HILL SHELTER 2",37206,0,2,2,NA
"NOLENSVILLE PIKE / HARDING PL",37211,0,2,2,NA
"NOLENSVILLE PIKE / I440 W EXT RAMP",37210,0,2,2,NA
"NOLENSVILLE PIKE / MELROSE AVE",37210,0,2,2,NA
"NOLENSVILLE PIKE / MOORE AVE",37210,0,2,2,NA
"NOLENSVILLE PIKE / OLD HICKORY BLVD",37211,0,2,2,NA
"OLD HICKORY BLVD & HADLEY AVE",37138,0,2,2,NA
"OLD HICKORY BLVD / 2ND ST",37138,0,2,2,NA
"OLD HICKORY BLVD W / GALLATIN PIKE N",37115,1,3,2,200
"OPRY MILLS ENT 3",37214,1,3,2,200
"PAULA DR / TWIN HILLS DR",37115,0,2,2,NA
"PRINTERS ALY / COMMERCE ST",37201,0,2,2,NA
"REP JOHN LEWIS WAY N & BROADWAY",37203,0,2,2,NA
"REP JOHN LEWIS WAY N & UNION ST",37243,0,2,2,NA
"REP JOHN LEWIS WAY N / DR MARTIN L KING JR",37203,0,2,2,NA
"REP JOHN LEWIS WAY S / KOREAN VETERANS BLVD",37203,0,2,2,NA
"ROSA L PARKS BLVD & MONROE ST",37208,0,2,2,NA
"S 5TH ST & FATHERLAND ST",37206,0,2,2,NA
"SIDCO DR / HARDING PL",37220,0,2,2,NA
"SPRING ST & N 1ST ST",37207,0,2,2,NA
"STATE RT 45 / KATE ST",37115,0,2,2,NA
"STEWARTS FERRY PIKE / I40 E",37214,0,2,2,NA
"SYLVAN ST / S 9TH ST",37206,0,2,2,NA
"W TRINITY LN & BRICK CHURCH PIKE",37207,0,2,2,NA
"W TRINITY LN & HORIZON DR",37207,0,2,2,NA
"W TRINITY LN & I65 N ENT RAMP",37207,0,2,2,NA
"W TRINITY LN & LUCAS LN",37207,0,2,2,NA
"WALLACE RD & NOLENSVILLE PIKE",37211,0,2,2,NA
"WALLACE RD / LINBAR DR",37211,0,2,2,NA
"WEDGEWOOD AVE / 8TH AVE S",37203,0,2,2,NA
"WHITE BRIDGE PIKE / CHARLOTTE PIKE",37209,0,2,2,NA
"",37138,0,1,1,NA
"1 CARROLL ST",37210,0,1,1,NA
"1 TITANS WAY",37213,2,3,1,50
"10 DELL PKWY",37217,0,1,1,NA
"10 FERN AV",37207,1,2,1,100
"10 FERN AVE",37207,0,1,1,NA
"10 OPRY MILLS DR",37214,0,1,1,NA
"10 TRIMBLE ST",37210,0,1,1,NA
"100 7TH AVE N",37203,0,1,1,NA
"100 ARBOR CREEK BLVD",37217,0,1,1,NA
"100 ARCHWOOD PL",37115,0,1,1,NA
"100 COLEY DAVIS CT",37221,5,6,1,20
"100 LINCOYA BAY DR",37214,0,1,1,NA
"100 MADISON ST",37208,1,2,1,100
"100 NEILL AVE",37206,0,1,1,NA
"100 RIVERCHASE BLVD",37115,0,1,1,NA
"100 ROBERT CARTWRIGHT DR",37072,8,9,1,12
"100 RURAL AVE",37209,0,1,1,NA
"100 TIMBERLINE CT",37207,0,1,1,NA
"100 TRAILS CIR",37214,0,1,1,NA
"1000 APEX ST",37206,0,1,1,NA
"1000 EAST THOMPSON LN",37211,0,1,1,NA
"1000 MAIN Street",37210,0,1,1,NA
"1000 MASSMAN DR",37217,0,1,1,NA
"1000 MCMAHAN AVE",37216,0,1,1,NA
"1000 SEYMOUR AVE",37206,0,1,1,NA
"1001 11TH AVE N",37208,0,1,1,NA
"1001 4TH AVE N",37208,0,1,1,NA
"1001 BRET RIDGE DR",37076,0,1,1,NA
"1001 DUE WEST AVE N",37115,0,1,1,NA
"1001 GALLATIN AVE",37206,0,1,1,NA
"1001 HICKORY HOLLOW TER",37013,0,1,1,NA
"1001 LISCHEY AVE",37207,0,1,1,NA
"1001 PENNOCK AVE",37207,0,1,1,NA
"1001 SHELBY AVE",37206,2,3,1,50
"1001 WAVERLY AVE",37203,0,1,1,NA
"1002 BUCHANAN ST",37208,0,1,1,NA
"1002 LISCHEY PL",37207,0,1,1,NA
"1002 MANSFIELD ST",37206,0,1,1,NA
"1003 43RD AVE N",37209,1,2,1,100
"1003 CAPITOL PT",37203,0,1,1,NA
"1003 GALLATIN AVE",37206,0,1,1,NA
"1003 PHILLIPS ST",37208,0,1,1,NA
"1004 BROOKS MILL CIR",37076,0,1,1,NA
"1004 DELRAY CT",37209,0,1,1,NA
"1004 EAST THOMPSON LN",37211,0,1,1,NA
"1004 WEMBERTON PL",37214,0,1,1,NA
"1005 18TH AVE S",37212,0,1,1,NA
"1005 42ND AVE N",37209,0,1,1,NA
"1005 GRAYBAR LN",37204,0,1,1,NA
"1005 MCCLURKAN AVE",37206,0,1,1,NA
"1006 WOODMONT BLVD",37204,0,1,1,NA
"1007 11TH AVE S",37203,0,1,1,NA
"1007 MANSFIELD ST",37206,0,1,1,NA
"1007 MITCHELL RD",37214,0,1,1,NA
"1007 SOLLEY DR",37216,0,1,1,NA
"1007 TRICE DR",37209,0,1,1,NA
"1008 43RD AVE N",37209,0,1,1,NA
"1008 BROOKS MILL CIR",37076,0,1,1,NA
"1008 LISCHEY AVE",37207,0,1,1,NA
"1008 WINDSOR GREEN BLVD",37072,0,1,1,NA
"1009 MALLOW DR",37115,0,1,1,NA
"101 20TH AVE N",37203,0,1,1,NA
"101 BONNIE BRIAR LN",37212,0,1,1,NA
"101 BRIDGEWAY DR",37211,0,1,1,NA
"101 FAIN ST",37210,0,1,1,NA
"101 GLEN COVE TRL",37076,0,1,1,NA
"101 OLD AMQUI RD",37115,0,1,1,NA
"101 PLANTATION CT",37221,0,1,1,NA
"101 SUNSHINE CT",37013,0,1,1,NA
"101 UNIVERSITY CT",37210,1,2,1,100
"1010 4TH AVE N",37219,0,1,1,NA
"1010 CHURCH ST",37203,0,1,1,NA
"1010 FOREST AVE",37206,0,1,1,NA
"1010 GALLATIN AVE",37206,0,1,1,NA
"1010 SPACE PARK SOUTH DR",37211,0,1,1,NA
"1011 32ND AVE N",37209,0,1,1,NA
"1011 CALDWELL AVE",37204,0,1,1,NA
"1011 N 2ND ST",37207,0,1,1,NA
"1011 VIDA WAY",37135,0,1,1,NA
"1012 11TH AVE S",37203,0,1,1,NA
"1012 JOSEPH AVE",37207,0,1,1,NA
"1013 FALLS AVE",37115,0,1,1,NA
"1013 JOSEPH AVE",37207,0,1,1,NA
